,numPhotos,price,propertyType,size,exterior,rooms,bathrooms,distance,priceByArea,hasPlan,has360,hasVideo,hasLift,parkingSpace_included_in_listing,floor_grouped,municipality_grouped,p_area_property_grouped
87,17,725.0,flat,70.0,True,2,1,4117,10.357142857142858,False,False,False,True,False,unknown,Madrid,flat or other
88,9,700.0,flat,80.0,True,1,1,29460,8.75,False,False,False,False,False,1.0,Other,flat or other
89,7,650.0,flat,40.0,True,1,1,12224,16.25,False,False,False,True,False,0.0,Madrid,flat or other
90,24,695.0,flat,90.0,True,3,1,7729,7.722222222222222,False,False,False,False,False,unknown,Madrid,flat or other
91,13,750.0,flat,55.0,True,1,1,6017,13.636363636363637,False,False,False,False,False,unknown,Madrid,flat or other
92,18,650.0,flat,65.0,True,2,1,7559,10.0,False,False,False,True,False,unknown,Madrid,flat or other
93,13,666.0,flat,70.0,True,1,2,24862,9.514285714285714,False,False,False,True,True,1.0,Other,flat or other
94,10,750.0,flat,78.0,True,2,2,29976,9.615384615384617,False,False,False,True,True,unknown,Other,flat or other
95,16,630.0,flat,74.0,True,3,1,36483,8.513513513513514,False,False,False,True,False,unknown,Other,flat or other
96,18,635.0,studio,55.0,True,0,1,14528,11.545454545454543,False,False,False,True,True,2.0,Other,studio
97,5,725.0,flat,69.0,True,2,1,35892,10.507246376811594,False,False,True,True,True,1.0,Other,flat or other
99,16,750.0,flat,35.0,False,1,1,859,21.428571428571427,True,False,False,False,False,1.0,Madrid,flat or other
100,10,690.0,flat,65.0,True,2,1,4724,10.615384615384617,False,False,False,False,False,3.0,Madrid,flat or other
101,19,700.0,studio,30.0,False,0,1,1041,23.33333333333333,False,False,False,True,False,2.0,Madrid,studio
102,33,730.0,flat,64.0,True,3,1,20235,11.40625,True,True,True,False,False,1.0,Other,flat or other
103,19,750.0,flat,51.0,True,1,1,3436,14.705882352941176,False,False,False,True,False,1.0,Madrid,flat or other
104,16,750.0,flat,48.0,False,1,1,20526,15.625,False,False,False,True,False,4 or more,Other,flat or other
105,13,690.0,flat,35.0,True,1,1,4802,19.714285714285715,False,False,False,False,False,unknown,Madrid,flat or other
107,13,750.0,flat,74.0,True,3,1,13017,10.135135135135137,False,False,False,True,False,4 or more,Other,flat or other
109,16,700.0,duplex,35.0,True,1,1,852,20.0,False,False,False,False,False,0.0,Madrid,flat or other
112,11,720.0,flat,42.0,True,1,1,8333,17.142857142857142,True,False,False,True,False,4 or more,Madrid,flat or other
113,22,595.0,flat,55.0,True,1,1,29699,10.818181818181818,True,False,False,False,True,1.0,Other,flat or other
114,14,700.0,flat,45.0,False,1,1,1113,15.555555555555555,False,False,False,False,False,1.0,Madrid,flat or other
116,6,500.0,flat,45.0,True,1,1,32188,11.11111111111111,False,False,False,False,False,unknown,Other,flat or other
119,6,700.0,flat,75.0,True,2,1,43915,9.333333333333334,True,False,True,False,False,1.0,Other,flat or other
121,8,675.0,duplex,87.0,True,2,2,44503,7.758620689655173,False,False,False,False,False,2.0,Other,flat or other
122,10,650.0,flat,45.0,True,1,1,37741,14.444444444444445,False,False,False,False,True,0.0,Other,flat or other
123,4,750.0,studio,55.0,True,0,1,918,13.636363636363637,True,False,False,True,False,2.0,Madrid,studio
124,17,720.0,studio,45.0,True,0,1,15433,16.0,True,True,True,True,False,4 or more,Other,studio
125,22,624.0,flat,45.0,True,1,1,24077,13.866666666666667,True,False,True,True,True,unknown,Other,flat or other
126,22,633.0,flat,45.0,True,1,1,24077,14.066666666666666,True,False,True,True,True,unknown,Other,flat or other
127,22,640.0,studio,33.0,True,0,1,11189,19.393939393939394,True,False,False,True,False,2.0,Madrid,studio
128,14,645.0,flat,84.0,True,2,2,43827,7.678571428571429,False,True,False,True,False,2.0,Other,flat or other
129,12,750.0,flat,46.0,False,1,1,1069,16.304347826086957,True,True,False,False,False,3.0,Madrid,flat or other
130,16,735.0,studio,35.0,True,0,1,11088,21.0,True,True,False,True,True,1.0,Madrid,studio
131,22,600.0,flat,55.0,True,1,1,25189,10.909090909090908,True,True,True,False,False,unknown,Other,flat or other
132,28,750.0,flat,75.0,True,3,1,8286,10.0,False,False,False,False,False,unknown,Madrid,flat or other
133,1,600.0,penthouse,25.0,True,1,1,183,24.0,True,True,False,True,False,4 or more,Madrid,flat or other
134,30,705.0,flat,48.0,True,1,1,11472,14.6875,True,False,False,True,True,4 or more,Madrid,flat or other
136,35,650.0,flat,62.0,True,2,1,43229,10.483870967741936,True,False,True,False,False,3.0,Other,flat or other
138,29,700.0,duplex,61.0,True,2,1,23917,11.475409836065571,False,False,False,False,False,1.0,Other,flat or other
139,14,650.0,studio,40.0,False,0,1,5088,16.25,False,False,False,True,False,1,Madrid,studio
140,16,700.0,flat,40.0,True,1,1,3076,17.5,False,False,False,False,True,0.0,Madrid,flat or other
141,30,730.0,flat,51.0,True,2,1,6767,14.31372549019608,True,True,True,False,False,4 or more,Madrid,flat or other
142,35,750.0,flat,50.0,True,2,1,8331,15.0,True,True,True,False,False,3.0,Madrid,flat or other
143,29,680.0,flat,56.0,True,2,1,19298,12.142857142857142,True,True,True,False,False,3.0,Other,flat or other
144,29,710.0,flat,78.0,True,3,1,21617,9.102564102564102,True,True,True,False,False,4 or more,Other,flat or other
145,29,720.0,flat,47.0,True,2,1,7088,15.319148936170214,True,True,True,False,False,1.0,Madrid,flat or other
146,12,750.0,studio,43.0,True,0,1,5332,17.441860465116278,False,False,False,True,False,unknown,Madrid,studio
148,12,695.0,studio,40.0,True,0,1,12376,17.375,False,False,False,True,True,unknown,Madrid,studio
150,42,750.0,flat,90.0,True,3,1,26401,8.333333333333334,False,False,False,True,False,unknown,Other,flat or other
151,1,730.0,flat,50.0,True,1,1,8717,14.6,False,False,False,True,True,2.0,Madrid,flat or other
152,24,600.0,flat,90.0,True,3,1,25182,6.666666666666667,False,False,False,True,False,unknown,Other,flat or other
153,17,650.0,studio,45.0,True,0,1,5656,14.444444444444445,False,False,False,True,False,0.0,Madrid,studio
154,20,750.0,flat,38.0,False,1,1,470,19.73684210526316,False,False,True,True,False,0.0,Madrid,flat or other
156,21,730.0,flat,50.0,True,1,1,16410,14.6,False,False,False,True,True,unknown,Other,flat or other
159,0,735.0,studio,30.0,True,0,1,11188,24.5,False,True,False,True,True,2.0,Madrid,studio
160,29,610.0,flat,72.0,False,1,1,19544,8.472222222222221,True,True,True,True,True,0.0,Other,flat or other
163,16,725.0,flat,50.0,True,1,1,23787,14.5,True,False,False,False,False,1,Other,flat or other
164,22,750.0,flat,48.0,True,1,1,5085,15.625,True,False,True,False,False,1.0,Madrid,flat or other
165,24,750.0,flat,70.0,True,3,1,29660,10.714285714285714,True,False,True,False,False,2.0,Other,flat or other
166,16,750.0,flat,49.0,True,1,1,8465,15.306122448979592,True,False,True,True,False,4 or more,Madrid,flat or other
167,28,730.0,flat,60.0,True,3,1,20948,12.166666666666666,True,True,True,False,False,3.0,Other,flat or other
168,32,560.0,flat,26.0,False,1,1,625,21.53846153846154,True,True,True,False,False,0.0,Madrid,flat or other
169,20,700.0,studio,23.0,True,0,1,1271,30.43478260869565,True,True,True,False,False,unknown,Madrid,studio
170,30,750.0,flat,80.0,True,3,1,14991,9.375,False,False,False,True,True,2.0,Other,flat or other
171,31,730.0,flat,70.0,True,3,1,18781,10.428571428571429,True,True,True,False,False,3.0,Other,flat or other
172,29,730.0,flat,52.0,True,2,1,8827,14.038461538461538,True,True,True,False,False,4 or more,Madrid,flat or other
173,27,740.0,flat,64.0,True,2,1,8365,11.5625,True,True,True,False,False,3.0,Madrid,flat or other
174,37,720.0,flat,65.0,True,2,1,7511,11.076923076923077,True,True,True,False,False,2.0,Madrid,flat or other
175,32,720.0,flat,63.0,True,2,1,19731,11.428571428571429,True,True,True,False,False,2.0,Other,flat or other
176,33,740.0,flat,54.0,True,2,1,6636,13.703703703703704,True,True,True,True,False,1.0,Madrid,flat or other
177,30,720.0,flat,52.0,True,2,1,12695,13.846153846153848,True,True,True,False,False,3.0,Other,flat or other
178,43,730.0,flat,45.0,True,2,1,4385,16.22222222222222,True,True,True,False,False,3.0,Madrid,flat or other
179,7,600.0,duplex,80.0,False,1,1,7223,7.5,True,True,True,False,False,unknown,Madrid,flat or other
181,20,725.0,duplex,71.0,True,2,1,23158,10.211267605633802,False,False,False,False,True,1.0,Other,flat or other
182,31,675.0,flat,76.0,True,3,1,43485,8.881578947368421,True,True,True,False,True,2.0,Other,flat or other
183,21,750.0,flat,54.0,True,1,1,15834,13.88888888888889,False,False,False,True,True,3.0,Other,flat or other
184,20,750.0,duplex,79.0,True,2,2,34697,9.49367088607595,False,False,False,False,False,1.0,Other,flat or other
185,33,700.0,flat,54.0,True,1,1,3354,12.962962962962964,False,False,False,True,False,2.0,Madrid,flat or other
186,33,750.0,flat,54.0,True,2,1,8322,13.88888888888889,True,True,True,False,False,3.0,Madrid,flat or other
187,31,730.0,flat,48.0,True,2,1,6997,15.208333333333334,True,True,True,False,False,3.0,Madrid,flat or other
188,39,650.0,flat,61.0,True,2,1,28605,10.655737704918034,True,True,True,False,False,4 or more,Other,flat or other
189,34,730.0,flat,63.0,True,2,1,7893,11.587301587301589,True,True,True,False,False,1.0,Madrid,flat or other
190,33,720.0,flat,50.0,True,2,1,7041,14.4,True,True,True,False,False,2.0,Madrid,flat or other
191,31,720.0,flat,51.0,True,2,1,6973,14.117647058823527,True,True,True,False,False,1.0,Madrid,flat or other
192,30,750.0,flat,47.0,True,2,1,4538,15.95744680851064,True,True,True,False,False,1.0,Madrid,flat or other
193,30,730.0,flat,50.0,True,2,1,7411,14.6,True,True,True,False,False,3.0,Madrid,flat or other
194,23,730.0,flat,40.0,True,2,1,4201,18.25,True,True,True,False,False,2.0,Madrid,flat or other
195,32,670.0,flat,67.0,True,2,1,25100,10.0,True,True,True,True,False,1.0,Other,flat or other
196,31,740.0,flat,52.0,True,2,1,4862,14.23076923076923,True,True,True,False,False,3.0,Madrid,flat or other
197,30,720.0,flat,69.0,True,2,1,29084,10.434782608695652,True,True,True,True,False,1.0,Other,flat or other
198,30,750.0,flat,59.0,True,2,1,8400,12.71186440677966,True,True,True,False,False,4 or more,Madrid,flat or other
199,33,740.0,flat,45.0,True,2,1,7720,16.444444444444443,True,True,True,False,False,3.0,Madrid,flat or other
200,31,740.0,flat,60.0,True,2,1,6670,12.333333333333334,True,True,True,True,False,1.0,Madrid,flat or other
201,10,730.0,studio,45.0,False,0,1,854,16.22222222222222,False,False,False,True,False,unknown,Madrid,studio
202,13,620.0,flat,75.0,True,3,1,21044,8.266666666666667,False,False,False,True,False,unknown,Other,flat or other
203,16,695.0,flat,67.0,True,2,1,16111,10.373134328358208,False,False,False,False,False,unknown,Other,flat or other
204,17,650.0,flat,95.0,True,3,1,29884,6.842105263157895,False,False,False,True,False,unknown,Other,flat or other
205,11,675.0,flat,68.0,True,2,1,30461,9.926470588235292,False,False,False,True,False,unknown,Other,flat or other
206,20,695.0,flat,65.0,True,2,1,8484,10.692307692307692,False,False,False,False,False,unknown,Madrid,flat or other
207,12,750.0,flat,111.0,True,2,2,20583,6.756756756756757,False,False,False,True,False,4 or more,Other,flat or other
208,16,675.0,flat,35.0,False,1,1,1016,19.285714285714285,True,True,True,False,False,unknown,Madrid,flat or other
210,21,690.0,flat,85.0,True,2,1,20804,8.117647058823529,False,False,False,True,False,unknown,Other,flat or other
211,14,750.0,flat,45.0,False,1,1,5089,16.666666666666668,True,False,False,False,False,0.0,Madrid,flat or other
213,21,600.0,studio,32.0,True,0,1,6325,18.75,False,False,False,True,False,1.0,Madrid,studio
215,28,723.0,studio,25.0,True,0,1,16775,28.92,True,False,True,True,True,unknown,Other,studio
220,29,725.0,flat,50.0,True,1,1,10503,14.5,True,False,False,True,True,1.0,Madrid,flat or other
221,16,750.0,flat,67.0,True,3,1,11657,11.194029850746269,True,True,True,False,False,unknown,Other,flat or other
222,16,600.0,flat,45.0,True,2,1,41003,13.333333333333334,True,True,True,False,False,unknown,Other,flat or other
223,42,750.0,flat,70.0,True,3,1,14642,10.714285714285714,False,False,False,False,False,2.0,Other,flat or other
224,6,450.0,penthouse,60.0,True,1,1,53238,7.5,False,False,False,False,False,unknown,Other,flat or other
226,27,720.0,flat,54.0,True,1,1,3296,13.333333333333334,True,True,True,False,False,0.0,Madrid,flat or other
227,8,550.0,penthouse,75.0,True,2,2,53247,7.333333333333333,False,False,False,False,False,unknown,Other,flat or other
228,30,720.0,flat,49.0,False,3,1,8411,14.693877551020408,True,True,True,False,False,3.0,Madrid,flat or other
229,38,740.0,flat,65.0,True,3,1,8443,11.384615384615383,False,False,False,True,False,1.0,Madrid,flat or other
230,72,660.0,flat,155.0,False,3,2,41119,4.258064516129032,True,True,True,False,False,unknown,Other,flat or other
231,26,720.0,flat,56.0,False,2,1,6691,12.857142857142858,True,True,True,False,False,4 or more,Madrid,flat or other
232,22,650.0,flat,31.0,False,1,1,1207,20.967741935483872,False,False,False,False,False,3.0,Madrid,flat or other
233,28,650.0,flat,96.0,True,2,1,43953,6.770833333333333,True,True,True,False,False,3.0,Other,flat or other
234,29,660.0,flat,168.0,False,3,2,41221,3.928571428571429,True,True,True,True,True,3.0,Other,flat or other
235,19,690.0,flat,64.0,True,2,1,30634,10.78125,False,False,False,False,False,0.0,Other,flat or other
236,24,750.0,studio,25.0,True,0,1,3177,30.0,True,False,False,True,False,4 or more,Madrid,studio
238,29,725.0,flat,45.0,True,1,1,10508,16.11111111111111,True,False,False,True,True,2.0,Madrid,flat or other
239,31,620.0,flat,85.0,False,1,1,19767,7.294117647058823,True,True,True,True,True,0.0,Other,flat or other
240,25,590.0,flat,52.0,True,1,1,44526,11.346153846153848,False,False,False,False,False,0.0,Other,flat or other
241,15,750.0,penthouse,80.0,True,0,1,20818,9.375,False,False,False,True,True,1.0,Other,flat or other
242,24,720.0,studio,36.0,True,0,1,5975,20.0,False,True,False,True,True,2.0,Madrid,studio
243,16,700.0,flat,82.0,True,2,1,42463,8.536585365853659,False,False,False,False,False,3.0,Other,flat or other
245,19,692.0,flat,83.0,True,2,2,20294,8.337349397590362,True,False,False,True,True,unknown,Other,flat or other
247,14,609.0,flat,56.0,True,1,1,30186,10.875,True,False,False,True,False,0.0,Other,flat or other
251,11,750.0,flat,36.0,False,2,1,3620,20.83333333333333,False,False,False,True,False,2.0,Madrid,flat or other
258,16,650.0,studio,28.0,True,0,1,4920,23.214285714285715,False,True,False,False,False,0.0,Madrid,studio
259,23,750.0,flat,60.0,False,2,1,29663,12.5,False,False,True,False,False,1.0,Other,flat or other
260,30,735.0,flat,60.0,True,3,1,20886,12.25,True,True,True,False,False,4 or more,Other,flat or other
261,24,699.0,penthouse,78.0,True,2,1,27684,8.961538461538462,False,False,False,False,False,2.0,Other,flat or other
262,28,725.0,flat,67.0,True,3,1,17191,10.82089552238806,True,True,True,False,False,4 or more,Other,flat or other
263,21,740.0,flat,77.0,True,3,2,28385,9.61038961038961,True,True,True,True,False,0.0,Other,flat or other
265,20,720.0,flat,73.0,True,1,1,34761,9.863013698630136,True,False,False,True,False,2.0,Other,flat or other
266,21,750.0,flat,79.0,True,3,1,11728,9.49367088607595,False,False,False,True,False,1,Other,flat or other
268,30,710.0,flat,66.0,True,3,1,20588,10.757575757575758,True,True,True,False,False,4 or more,Other,flat or other
269,42,725.0,flat,62.0,True,2,1,7748,11.693548387096774,False,True,True,False,False,3.0,Madrid,flat or other
270,22,750.0,flat,46.0,False,1,1,5680,16.304347826086957,False,False,False,False,False,0.0,Madrid,flat or other
271,32,750.0,flat,61.0,True,2,1,3161,12.295081967213116,False,False,False,True,False,1.0,Madrid,flat or other
272,28,730.0,flat,161.0,True,3,1,44159,4.53416149068323,True,True,True,False,False,3.0,Other,flat or other
274,25,720.0,flat,110.0,False,2,1,21417,6.545454545454546,True,True,True,True,True,unknown,Other,flat or other
275,28,720.0,flat,48.0,False,2,1,3551,15.0,True,True,True,False,False,0.0,Madrid,flat or other
276,33,700.0,flat,57.0,False,2,1,8410,12.280701754385966,True,True,True,False,False,4 or more,Madrid,flat or other
277,19,750.0,duplex,75.0,True,2,2,24176,10.0,False,False,False,False,False,1.0,Other,flat or other
278,26,610.0,studio,26.0,False,0,1,5343,23.46153846153846,True,True,True,True,False,3.0,Madrid,studio
279,25,740.0,flat,52.0,False,2,1,17525,14.23076923076923,True,True,True,False,False,4 or more,Other,flat or other
280,33,715.0,flat,62.0,True,2,1,26558,11.53225806451613,False,True,False,True,True,0.0,Other,flat or other
281,28,550.0,flat,57.0,False,2,1,43521,9.649122807017545,True,True,True,False,False,0.0,Other,flat or other
282,45,710.0,flat,36.0,True,1,1,1315,19.72222222222222,True,True,True,False,False,0.0,Madrid,flat or other
283,26,730.0,flat,51.0,True,2,1,8093,14.31372549019608,True,True,True,False,False,2.0,Madrid,flat or other
284,21,750.0,studio,23.0,True,0,1,1367,32.608695652173914,False,False,True,True,False,4 or more,Madrid,studio
285,27,690.0,flat,33.0,False,1,1,5232,20.90909090909091,True,True,True,True,False,3.0,Madrid,flat or other
286,32,740.0,flat,73.0,True,3,1,21838,10.136986301369864,True,True,True,True,False,4 or more,Other,flat or other
287,38,750.0,duplex,66.0,True,1,1,5627,11.363636363636363,True,True,True,True,False,0.0,Madrid,flat or other
288,29,720.0,flat,44.0,False,3,1,8176,16.363636363636363,True,True,True,False,False,2.0,Madrid,flat or other
289,27,475.0,flat,79.0,True,2,2,45077,6.012658227848101,False,False,False,True,False,2.0,Other,flat or other
