,numPhotos,price,propertyType,size,exterior,rooms,bathrooms,distance,priceByArea,hasPlan,has360,hasVideo,hasLift,parkingSpace_included_in_listing,floor_grouped,municipality_grouped
156,21,730.0,flat,50.0,True,1,1,16410,14.6,False,False,False,True,True,nan,Other
159,0,735.0,studio,30.0,True,0,1,11188,24.5,False,True,False,True,True,2.0,Madrid
160,29,610.0,flat,72.0,False,1,1,19544,8.472222222222221,True,True,True,True,True,0.0,Other
163,16,725.0,flat,50.0,True,1,1,23787,14.5,True,False,False,False,False,0.5,Other
164,22,750.0,flat,48.0,True,1,1,5085,15.625,True,False,True,False,False,1.0,Madrid
165,24,750.0,flat,70.0,True,3,1,29660,10.714285714285714,True,False,True,False,False,2.0,Other
166,16,750.0,flat,49.0,True,1,1,8465,15.306122448979592,True,False,True,True,False,4,Madrid
167,28,730.0,flat,60.0,True,3,1,20948,12.166666666666666,True,True,True,False,False,3.0,Other
168,32,560.0,flat,26.0,False,1,1,625,21.53846153846154,True,True,True,False,False,0.0,Madrid
169,20,700.0,studio,23.0,True,0,1,1271,30.43478260869565,True,True,True,False,False,nan,Madrid
170,30,750.0,flat,80.0,True,3,1,14991,9.375,False,False,False,True,True,2.0,Other
171,31,730.0,flat,70.0,True,3,1,18781,10.428571428571429,True,True,True,False,False,3.0,Other
172,29,730.0,flat,52.0,True,2,1,8827,14.038461538461538,True,True,True,False,False,4,Madrid
173,27,740.0,flat,64.0,True,2,1,8365,11.5625,True,True,True,False,False,3.0,Madrid
174,37,720.0,flat,65.0,True,2,1,7511,11.076923076923077,True,True,True,False,False,2.0,Madrid
175,32,720.0,flat,63.0,True,2,1,19731,11.428571428571429,True,True,True,False,False,2.0,Other
176,33,740.0,flat,54.0,True,2,1,6636,13.703703703703704,True,True,True,True,False,1.0,Madrid
177,30,720.0,flat,52.0,True,2,1,12695,13.846153846153848,True,True,True,False,False,3.0,Other
178,43,730.0,flat,45.0,True,2,1,4385,16.22222222222222,True,True,True,False,False,3.0,Madrid
179,7,600.0,duplex,80.0,False,1,1,7223,7.5,True,True,True,False,False,nan,Madrid
181,20,725.0,duplex,71.0,True,2,1,23158,10.211267605633802,False,False,False,False,True,1.0,Other
182,31,675.0,flat,76.0,True,3,1,43485,8.881578947368421,True,True,True,False,True,2.0,Other
183,21,750.0,flat,54.0,True,1,1,15834,13.88888888888889,False,False,False,True,True,3.0,Other
184,20,750.0,duplex,79.0,True,2,2,34697,9.49367088607595,False,False,False,False,False,1.0,Other
185,33,700.0,flat,54.0,True,1,1,3354,12.962962962962964,False,False,False,True,False,2.0,Madrid
186,33,750.0,flat,54.0,True,2,1,8322,13.88888888888889,True,True,True,False,False,3.0,Madrid
187,31,730.0,flat,48.0,True,2,1,6997,15.208333333333334,True,True,True,False,False,3.0,Madrid
188,39,650.0,flat,61.0,True,2,1,28605,10.655737704918034,True,True,True,False,False,4,Other
189,34,730.0,flat,63.0,True,2,1,7893,11.587301587301589,True,True,True,False,False,1.0,Madrid
190,33,720.0,flat,50.0,True,2,1,7041,14.4,True,True,True,False,False,2.0,Madrid
191,31,720.0,flat,51.0,True,2,1,6973,14.117647058823527,True,True,True,False,False,1.0,Madrid
192,30,750.0,flat,47.0,True,2,1,4538,15.95744680851064,True,True,True,False,False,1.0,Madrid
193,30,730.0,flat,50.0,True,2,1,7411,14.6,True,True,True,False,False,3.0,Madrid
194,23,730.0,flat,40.0,True,2,1,4201,18.25,True,True,True,False,False,2.0,Madrid
195,32,670.0,flat,67.0,True,2,1,25100,10.0,True,True,True,True,False,1.0,Other
196,31,740.0,flat,52.0,True,2,1,4862,14.23076923076923,True,True,True,False,False,3.0,Madrid
197,30,720.0,flat,69.0,True,2,1,29084,10.434782608695652,True,True,True,True,False,1.0,Other
198,30,750.0,flat,59.0,True,2,1,8400,12.71186440677966,True,True,True,False,False,4,Madrid
199,33,740.0,flat,45.0,True,2,1,7720,16.444444444444443,True,True,True,False,False,3.0,Madrid
200,31,740.0,flat,60.0,True,2,1,6670,12.333333333333334,True,True,True,True,False,1.0,Madrid
201,10,730.0,studio,45.0,False,0,1,854,16.22222222222222,False,False,False,True,False,nan,Madrid
202,13,620.0,flat,75.0,True,3,1,21044,8.266666666666667,False,False,False,True,False,nan,Other
203,16,695.0,flat,67.0,True,2,1,16111,10.373134328358208,False,False,False,False,False,nan,Other
204,17,650.0,flat,95.0,True,3,1,29884,6.842105263157895,False,False,False,True,False,nan,Other
205,11,675.0,flat,68.0,True,2,1,30461,9.926470588235292,False,False,False,True,False,nan,Other
206,20,695.0,flat,65.0,True,2,1,8484,10.692307692307692,False,False,False,False,False,nan,Madrid
207,12,750.0,flat,111.0,True,2,2,20583,6.756756756756757,False,False,False,True,False,4,Other
208,16,675.0,flat,35.0,False,1,1,1016,19.285714285714285,True,True,True,False,False,nan,Madrid
